ticker,company_name,sector,filing_year,risk_rank,risk_category,risk_title,risk_description,why_material,unique_to_sector
PLD,Prologis,Industrial/Logistics,2023,1,Geographic Concentration,California Market Exposure,30% of properties and 31.7% of NOI concentrated in California markets,"Economic downturn, oversupply, or tax changes in California would significantly impact performance",No
PLD,Prologis,Industrial/Logistics,2023,2,Customer Concentration,Major Customer Dependency,Amazon represents 6.4% of revenues; top 10 customers account for 15.8%,Loss of key tenants or unfavorable lease renewals would materially impact cash flow,No
PLD,Prologis,Industrial/Logistics,2023,3,Foreign Currency,Foreign Currency & International Operations,$10.6B (11.4% of assets) denominated in foreign currencies,Currency depreciation or international economic instability could reduce dollar-reported earnings,No
PLD,Prologis,Industrial/Logistics,2023,4,Development,Development Execution Risk,Active development program with significant capital deployment,"Cost overruns, leasing delays, and financing challenges could tie up capital without generating returns",No
PLD,Prologis,Industrial/Logistics,2023,5,Financing,Rising Interest Rates,Variable-rate debt and upcoming refinancings,Higher borrowing costs squeeze margins and limit growth capital,No
AMT,American Tower,Infrastructure/Towers,2023,1,Customer Concentration,Wireless Carrier Concentration,"Substantial revenue from small number of wireless carriers (AT&T, Verizon, T-Mobile)",Loss of major carrier or reduced carrier spending would dramatically impact revenue,Yes
AMT,American Tower,Infrastructure/Towers,2023,2,Foreign Currency,International Operations & FX Risk,Operates in 25+ countries with revenues in multiple currencies,Currency swings and emerging market instability directly hit dollar-reported earnings,No
AMT,American Tower,Infrastructure/Towers,2023,3,Industry-Specific,Tenant Consolidation & Network Sharing,Carriers consolidating or sharing tower infrastructure,Carrier mergers or infrastructure sharing reduces number of tenants per tower,Yes
AMT,American Tower,Infrastructure/Towers,2023,4,Technology,Technology Evolution Risk,"New technologies (satellite, small cells, future 6G) may reduce tower demand",Technology shifts could make traditional macro towers less necessary or obsolete,Yes
AMT,American Tower,Infrastructure/Towers,2023,5,Property Rights,Ground Lease Risk,Leases land under many towers rather than owning it,Landowner non-renewals or price increases squeeze margins or force tower removal,Yes
